title,artists,date,rank,peak,total weeks,lyrics,info,Sentiment
How To Love,Lil Wayne,07/03/2011,10,10,5,"Cut the music up
A lil' louder
Yeah

You had a lot of crooks tryna steal your heart
Never really had luck, couldn't never figure out
How to love, how to love

You had a lot of moments that didn't last forever
Now you in the corner tryna put it together
How to love, how to love

For a second you were here, now you over there
It's hard not to stare, the way you moving your body
Like you never had a love, never had love

When you was just a young'un, your looks were so precious
But now your grown up, so fly it's like a blessing
But you can't have a man look at you for 5 seconds
Without you being insecure

You never credit yourself so when you got older
It's seems like you came back 10 times over
Now you're sitting here in this damn corner
Looking through all your thoughts and looking over your shoulder

See you had a lot of crooks tryna steal your heart
Never really had luck, couldn't never figure out
How to love, how to love

See you had a lot of moments that didn't last forever
Now you in this corner tryna put it together
How to love, how to love

For a second you were here, now you over there
It's hard not to stare, the way you moving your body
Like you never had a love, had a love

Ooh, you had a lot of dreams that transform to visions
The fact that you saw the world affected all your decisions
But it wasn't your fault, wasn't in your intentions
To be the one here talking to me, be the one listening

But I admire your poppin' bottles and dippin'
Just as much as you admire bartending and strippin'
Baby, so don't be mad, nobody else trippin'
You see a lot of crooks and the crooks still crook

You see you had a lot of crooks tryna steal your heart
Never really had luck, couldn't never figure out
How to love, how to love

See you had a lot of moments that didn't last forever
Now you in this corner tryna put it together
How to love, how to love

Ooh, see I just want you to know
That you deserve the best
You're beautiful
You're beautiful
Yeah
And I want you to know
You're far from the usual
Far from the usual

You see you had a lot of crooks tryna steal your heart
Never really had luck, couldn't never figure out
How to love, how to love

See you had a lot of moments that didn't last forever
Now you in this corner tryna put it together
How to love, how to love

See you had a lot of crooks tryna steal your heart
Never really had luck, couldn't never figure out
How to love, how to love

Yeah, see you had a lot of moments that didn't last forever
Now you in this corner tryna put it together
How to love, how to love",How To Love+Lil Wayne,1
Good Life,OneRepublic,07/10/2011,9,9,14,"Woke up in London yesterday
Found myself in the city near Piccadilly
Don't really know how I got here
I got some pictures on my phone

New names and numbers that I don't know
Address to places like Abbey Road
Day turns to night
Night turns to whatever we want
We're young enough to say

Oh
This has gotta be good life
This has gotta be good life
This could really be a good life, good life

I say oh
Got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

To my friends in New York I say hello
My friends in L.A. they don't know
Where I've been for the past few years or so
Paris to China to Colorado

Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now
We all got our stories but please tell me-e-e
What there's to complain about

When you're happy like a fool
Let it take you over
When everything is out
You gotta take it in

Oh
This has gotta be good life
This has gotta be good life
This could really be a good life, good life

I say oh
Got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

Oh good, good life
Please, oh yeah, ooh

Hopelessly I feel like there might be something that I'll miss
Hopelessly I feel like the window closes oh so quick
Hopelessly I'm taking a mental picture of you now
'cause hopelessly the hope is we have so much to feel good about

Oh
This has gotta be good life
This has gotta be good life
This could really be a good life, good life

I say oh
Got this feeling that you can't fight
Like this city is on fire tonight
This could really be a good life
A good, good life

Oh yeah 
Good, good life
Good life
Listen

To my friends in New York I say hello
My friends in L.A. they don't know
Where I've been for the past few years or so
Paris to China to Colorado?

Sometimes there's airplanes I can't jump out
Sometimes there's bullshit that don't work now 
We all got our stories but please tell me
What there's to complain about?",Good Life+OneRepublic,0
Tonight Tonight,Hot Chelle Rae,07/10/2011,10,10,12,"(Uno, dos, tres)

It's been a really, really messed up week
Seven days of torture, seven days of bitter
And my girlfriend went and cheated on me
She's a California dime but it's time for me to quit her

La la la, whatever
La la la, it doesn't matter
La la la, oh well
La la la

We're going at it tonight, tonight
There's a party on the rooftop, top of the world
Tonight, tonight and we're dancing on the edge of the Hollywood Sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight

I woke up with a strange tattoo
Not sure how I got it, not a dollar in my pocket
And it kinda looks just like you
Mixed with Zach Galifianakis
Huh

La la la, whatever, la la la, it doesn't matter, la la la, oh well, la la la

We're going at it tonight, tonight
There's a party on the rooftop, top of the world
Tonight, tonight and we're dancing on the edge of the Hollywood Sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight

You got me singing, like
Woahohoh, come on, ohohoh, it doesn't matter, woahohoh, everybody now, ohohoh

Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out

Just don't stop, let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party, dance if I want to
We can get crazy, let it all out

It's you and me and were runnin' this town
And it's me and you and were shakin' the ground
And ain't nobody gonna tell us to go cause this is our show

Everybody
Woahohoh, come on, ohohoh, all you animals
Woahohoh, let me hear you now, ohohoh

Tonight, tonight there's a party on the rooftop, top of the world
Tonight, tonight and we're dancing on the edge of the Hollywood Sign
I don't know if I'll make it, but watch how good I'll fake it
It's all right, all right, tonight, tonight
It's all right, all right, tonight, tonight
Yeah it's all right, all right, tonight, tonight

Just singing like
Woahohoh, come on, ohohoh, all you party people
Woahohoh, all you singletons, ohohoh, even the white kids

Just don't stop lets keep the beat pumpin'
Keep the beat up, lets drop the beat down
It's my party dance if I want to
We can get crazy let it all out

Just don't stop let's keep the beat pumpin'
Keep the beat up, let's drop the beat down
It's my party dance if I want to
We can get crazy let it all out
It's...",Tonight Tonight+Hot Chelle Rae,1
Skyscraper,Demi Lovato,07/24/2011,10,10,0,"Skies are crying, I am watching
Catching teardrops in my hands
Only silence as it's ending
Like we never had a chance
Do you have to make me feel like
There's nothing left of me?

You can take everything I have
You can break everything I am
Like I'm made of glass
Like I'm made of paper
Go on and try to tear me down
I will be rising from the ground
Like a skyscraper, like a skyscraper

As the smoke clears, I awaken
And untangle you from me
Would it make you feel better
To watch me while I bleed?
All my windows still are broken
But I'm standing on my feet

You can take everything I have
You can break everything I am
Like I'm made of glass
Like I'm made of paper
And go on and try to tear me down
I will be rising from the ground
Like a skyscraper, like a skyscraper

Go run, run, run
I'm gonna stay right here
Watch you disappear, yeah oh
Go run, run, run
Yeah, it's a long way down
But I am closer to the clouds up here

You can take everything I have
You can break everything I am
Like I'm made of glass
Like I'm made of paper, oh woah
Go on and try to tear me down
I will be rising from the ground
Like a skyscraper, like a skyscraper

Like a skyscraper
Like a skyscraper
Like a skyscraper",Skyscraper+Demi Lovato,1
Lighters,Bad Meets Evil Featuring Bruno Mars,07/31/2011,10,10,6,"Bruno Mars:
This one's for you and me, livin' out our dreams
We're all right where we should be
Lift my arms out wide, I open my eyes, and now all I wanna see
Is a sky full of lighters, a sky full of lighters

Eminem:
By the time you hear this I will have already spiraled up
I would never do nothing to let you cowards fuck my world up
If I was you, I would duck, or get struck like lightning
Fighters keep fighting, put your lighters up, point em' skyward, uh

Had a dream I was king, I woke up, still king
This rap game's nipple is mine for the milking
Till nobody else even fucking feels me, till it kills me
I swear to God I'll be the fucking illest in this music

There is or there ever will be, disagree
Feel free, but from now on I'm refusing to ever give up
The only thing I ever gave up's using, no more excuses
Excuse me if my head is too big for this building

And pardon me if I'm a cocky prick, but you cocks are slick
Poppin' shit on how you flipped ya life around, crock-o-shit
Who you dicks try to kid, flipped dick, you did the opposite
You stayed the same, 'cause cock backwards is still cock, you pricks

I love it when I tell 'em shove it 'cause it wasn't that
Long ago when Marshall sat, luster lacked, flustered
'Cause he couldn't cut mustard, muster up nothing
Brain fuzzy, 'cause he's buzzin', woke up from that buzz, and now you wonder

Why he does it, how he does it, wasn't 'cause he had buzzards circle around his head
Waiting for him to drop dead, was it
Or was it 'cause them bitches wrote him off
Little hussy ass, 'cause fuck, guess it doesn't matter now, does it

What difference it make, what's it take, to get it through your thick skulls
If this ain't, some bullshit people don't usually come back this way
From a place that was dark as I was in just to get to this place
Now let these words be like a switch blade to a hater's rib cage

And let it be known from this day forward
I wanna just say thanks 'cause your hate is what gave me the strength
So let 'em Bics raise 'cause I came with 5'9"" but I feel like I'm 6'8""

Bruno Mars:
This one's for you and me, livin' out our dreams
We're all right where we should be
Lift my arms out wide, I open my eyes, and now all I wanna see
Is a sky full of lighters, a sky full of lighters

Royce da 5'9"":
By the time you hear this I'll probably already be outtie
I advance like going from toting iron to going and
Buying 4 or 5 of the homies the iron man Audi
My daddy told me ""Slow down, boy, you going to blow it""

And I ain't gotta stop the beat a minute
To tell Shady I love him the same way that he did Dr. Dre on The Chronic
Tell him how real he is or how high I am
Or how I would kill for him to know it

I cried plenty tears, my daddy got a bad back
So it's only right that I right
Till he can march right into that post office and tell 'em to hang it up
Now his career's Lebron's jersey in 20 years

I'll stop when I'm at the very top
You shitted on me on your way up, it's 'bout to be a scary drop
'Cause what goes up must come down
You going down on something you don't wanna see, like a hairy box

Every hour, happy hour now, life is wacky now
Used to have to eat the cat to get the pussy
Now I'm just the cats meow, ow
Classic cow, always down for the catch weight like Pacquiao

Y'all are doomed, I remember when T-Pain ain't wanna work with me
My car starts itself, parks itself, and autotunes
'Cause now I'm in the Aston, I went from having my city locked up
To getting treated like Kwame Kilpatrick

And now I'm fantastic, compared to a weed high
And y'all niggas just gossipin' like bitches on a radio and TV
See me, we fly
Y'all buggin' out like Wendy Williams staring at a beehive

And how real is that
I remember signing my first deal
And now I'm the second best, I can deal with that
Now Bruno can show his ass, without the MTV Awards gag

Bruno Mars:
You and I know what it's like
To be kicked down, forced to fight
But tonight we're all right
So hold up your lights
Let it shine

'Cause this one's for you and me, livin' out our dreams
We're all right where we should be
Lift my arms out wide, I open my eyes, and now all I wanna see
Is a sky full of lighters, a sky full of lighters",Lighters+Bad Meets Evil Featuring Bruno Mars,0
I Wanna Go,Britney Spears,08/07/2011,9,9,8,"Lately I've been stuck imagining
What I wanna do and what I really think
Time to blow out

Be a little inappropriate
'Cause I know that everybody's thinking it
When the light's out

Shame on me
To need release
Uncontrollably

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa

Lately people got me all tied up
There's a countdown waiting for me to erupt
Time to blow out

I've been told do what you do with it
We keep both my hands above the blanket
When the light's out

Shame on me
To need release
Uncontrollably

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa

Shame on me
To need release
Uncontrollably

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa

I wanna go all the way
Taking out my freak tonight
I wanna show all the dirt
I got running through my mind, whoa",I Wanna Go+Britney Spears,1
Pumped Up Kicks,Foster The People,08/21/2011,8,8,16,"Robert's got a quick hand
He'll look around the room, he won't tell you his plan
He's got a rolled cigarette
Hanging out his mouth, he's a cowboy kid

Yeah, he found a six-shooter gun
In his dad's closet with a box of fun things
And I don't even know what
But he's coming for you, yeah, he's coming for you, wait

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

Daddy works a long day
He'll be coming home late, yeah, he's coming home late
And he's bringing me a surprise
'Cause dinner's in the kitchen and it's packed in ice

I've waited for a long time
Yeah, the sleight of my hand is now a quick-pull trigger
I reason with my cigarette
And say, ""Your hair's on fire, you must have lost your wits,"" yeah

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

Run run run run
Ru-ru-ru-run run run
Ru-ru-ru-ru-run run run run
Ru-ru-ru-run
Run run ru-run run

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet

All the other kids with the pumped up kicks
You'd better run, better run, outrun my gun
All the other kids with the pumped up kicks
You'd better run, better run, faster than my bullet",Pumped Up Kicks+Foster The People,0
She Will,Lil Wayne Featuring Drake,08/28/2011,3,3,0,"(Verse 1: Lil Wayne)
I tell her ""Now gon' pop that pussy for a real nigga.""
I already know that life is deep, but I still dig her
Niggas is jealous, but really I could care less
I'm in hell's kitchen with an apron and a hairnet

Devil on my shoulder, the Lord is my witness
So on my Libra scale, I'm weighing sins and forgiveness
What goes around comes around like a hoola hoop
Karma is a bitch? Well just make sure that bitch is beautiful

Life on the edge, I'm dangling my feet
I tried to pay attention but attention paid me
Haters can't see me: nose-bleed seats
And today I went shopping and talk is still cheap

I rock to the beat of my drum set
I been at the top for a while and I ain't jump yet
But I'm, Ray Charles to the bullshit
Now jump up on that dick and do a full split!

(Hook: Drake)
She just started to pop it for a nigga and looked back
Told me ""Baby it's real.""
And I say I ain't doubt you for a second, I squeeze it, I could tell how it feel
I wish we could take off and go anywhere but here
Baby you know the deal

'Cause she bad, so maybe she won't but shit, then again, maybe she will
Do it for the realest niggas in the fucking game right now, she will
Do it for the realest niggas in the fucking game right now, she will
Maybe for the money and the power and fame right now, she will
Do it for the realest niggas in the fucking game right now, she will

(Verse 2: Lil Wayne)
And I tell her ""Go on! Pop that pussy for me.""
Haters can't see me but bitches still looking for me
And you could take it to the bank and deposit that
Put your two cents in and get a dollar back
Some people hang you out to dry like a towel rack
I'm all about ""I"" give the rest of the vowels back

I like my girl thick, not just kinda fine
Eat her till she cry, call that ""wine and dine""
Try to check me and imma have 'em checkin' pulses
They say ""Choose wisely,"" that's why I was chosen

Rocking like the asphalt, it's the cash's fault
Looked in the face of death and took it's mask off
Now I like my house big and my grass soft
I like my girl's face South and her ass North
But I'm Ray Charles to that bullshit
Now hop up on my dick and do a full split!

She just started to pop it for a nigga and looked back
Told me ""Baby it's real.""
And I say I ain't doubt you for a second, I squeeze it, I could tell how it feel
I wish we could take off and go anywhere but here
Baby you know the deal

'Cause she bad, so maybe she won't but shit, then again, maybe she will
Do it for the realest niggas in the fucking game right now, she will
Do it for the realest niggas in the fucking game right now, she will
Maybe for the money and the power and fame right now, she will
Do it for the realest niggas in the fucking game right now, she will",She Will+Lil Wayne Featuring Drake,0
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,09/04/2011,10,10,11,"My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-o-ote

Make me your radio (yeah, a-ha)
And turn me up when you feel low (turn it up a little bit)
This melody was meant for you (uh... like that)
So sing along to my stereo
(Gym Class Heroes baby!)

If I was just another dusty record on the shelf
Would you blow me off and play me like everybody else?
If I ask you to scratch my back, could you manage that?
Like get Rihanna, chicka, Travie, I can handle that

Furthermore, I apologize for any skipping tracks
It's just the last girl that played me left a couple cracks
I used to, used to, used to, used to, now I'm over that
'Cause holding grudges over love is ancient artifacts

If I could only find a note to make you understand
I'd sing it softly in your ear and grab you by the hand
Keep me stuck inside your head, like your favorite tune
And know my heart is a stereo that only plays for you
Heh heh heh

My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-o-ote (Yeah, yeah, yeah, come on)

Make me your radio (Uh huh)
And turn me up when you feel low (Turn it up)
This melody was meant for you
So sing along to my stereo

Oh oh oh oh, oh oh oh, to my stereo
Oh oh oh oh, so sing along to my stereo (Let's go)

If I was an old school fifty-pound boombox ('member them?)
Would you hold me on your shoulder wherever you walk?
Would you turn my volume up in front of the cops? (turn it up)
And crank it higher every time they told you to stop?

And all I ask is that you don't get mad at me
When you have to purchase mad D batteries
Appreciate every mixtape your friends make
You never know, we come and go like on the interstate

I think finally found a note to make you understand
If you can hear this, sing along and take me by the hands
Keep me stuck inside your head, like your favorite tune
And know my heart is a stereo that only plays for you

My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every note
O-oh

Make me your radio
And turn me up when you feel low
This melody was meant for you
So sing along to my stereo

Oh oh oh oh oh oh oh, to my stereo
Oh oh oh oh, so sing along to my stereo

I only pray you'll never leave me behind (never leave me)
Because good music can be so hard to find (so hard to find)
I'll take your hand and hold it closer to mine (yeah)
Thought love was dead, but now you're changing my mind (yeah, yeah c'mon!)

My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-o-ote (oh, oh)

Make me your radio
And turn me up when you feel low
This melody was meant for you
So sing along to my stereo

Oh oh oh oh oh oh oh, to my stereo
Oh oh oh oh, so sing along to my stereo

It's ya boy Travie
Gym Class Heroes, baby!

So sing along to my stereo

Yeah!",Stereo Hearts+Gym Class Heroes Featuring Adam Levine,1
Someone Like You,Adele,09/11/2011,1,1,9,"I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

I hate to turn up out of the blue uninvited  
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 
Sometimes it lasts in love, but sometimes it hurts instead, yeah

You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

I hate to turn up out of the blue uninvited  
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead, yeah

Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

Never mind, I'll find someone like you
I wish nothing but the best for you 
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 
Sometimes it lasts in love, but sometimes it hurts instead, yeah...",Someone Like You+Adele,0
You And I,Lady Gaga,09/11/2011,6,6,5,"It's been a long time since I came around
Been a long time but I'm back in town
This time I'm not leaving without you

You taste like whiskey when you kiss me, ohh
I'll give anything again to be your baby doll
This time I'm not leaving without you

He said sit back down where you belong
In the corner of my bar with your high heels on
Sit back down on the couch where we
Made love for first time and you said to me there's

Something, something about this place
Something 'bout lonely nights and my lipstick on your face
Something, something about my cool Nebraska guy
Yeah something about
Baby you and I

It's been two years since I let you go,
I couldn't listen to a joke or rock 'n' roll
Muscle cars drove a truck right through my heart

On my birthday you sang me a heart of gold
With a guitar humming and no clothes
This time I'm not leaving without you
Ohh-oh ohh-oh

Sit back down where you belong
In the corner of my bar with your high heels on
Sit back down on the couch where we
Made love for first time and you said to me there's

Something, something about this place
Something 'bout lonely nights and my lipstick on your face
Something, something about my cool Nebraska guy
Yeah something about
Baby you and I

You and I
You, you and I
You, you and I
You, you and I, I

You and I
You, you and I
Oh yeah! I'd rather die
Without you and I

C'mon!
Put your drinks up!

We got a whole lot of money, but we still pay rent
'Cause you can't buy a house in Heaven
There's only three men that Imma serve my whole life
It's my daddy and Nebraska and Jesus Christ there's

Something, something about the chase
Six whole years
I'm a New York woman, born to run you down
So have my lipstick all over your face
Something, something about just knowing when it's right

So put your drinks up, for Nebraska
For Nebraska, Nebraska, I love you

You and I
You, you and I
Baby! I rather die!
Without you and I

You and I
You, you and I
Nebraska! I rather die
Without you and I

It's been a long time since I came around
Been a long time but I'm back in town
This time I'm not leaving without you",You And I+Lady Gaga,1
You Make Me Feel...,Cobra Starship Featuring Sabi,09/11/2011,8,8,8,"La, la, la, la, la
La, la, na, na, na
La, la, la, la, la
La, la, na, na, na

Girl, I've been all over the world looking for you
I'm known for taking what I think I deserve
And you're overdue

And if you listen you can hear me through the radio
In that bright white noise
What I been missing in my life, what I been dreaming of

You'll be that girl
You'll be that girl
You'll be

Everything you want so let me get up there
I'm the baddest baby in the atmosphere
Tell me what you want so we can do just what you like

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la
You, you make me feel that

Get a little closer to me girl and you'll understand
'Cause if you want a guy that knows what you need
Well, then I'm your man

And if I listen I can hear you through my radio
In that bright white noise
What I been missing in my life, what I been dreaming of

You'll be that girl
You'll be that girl
You'll be

Everything you want so let me get up there
I'm the baddest baby in the atmosphere
Tell me what you want so we can do just what you like

Ooh, everything you know I'm flipping upside down
Take you 'round the world, you know I like it loud
Tell me what you want 'cause we can do just what you like

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la

You make me feel, oh
La, la, la, la, la
You make me feel that
La, la, la, la, la

You make me feel so
La, la, la, la, la
You make me feel, oh
La, la, la, la, la

Put your hands up, put your hands up
Let the lights drop, let the lights drop
Make my world stop, make my world stop

La, la, la, la, la
La, la, na, na, na

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la

You make me feel that
La, la, la, la, la
You make me feel so
La, la, la, la, la

You make me feel, oh
La, la, la, la, la
You make me feel that
La, la, la, la, la

You make me feel so
La, la, la, la, la
You make me feel that
La, la, la, la, la",You Make Me Feel...+Cobra Starship Featuring Sabi,1
Cheers (Drink To That),Rihanna,09/18/2011,10,10,7,"Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh let the Jameson sink in
I drink to that, yeah yeah

Don't let the bastards get you down
Turn it around with another round
There's a party at the bar everybody put your glasses up and
I drink to that, I drink to that, I drink to that
(Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah)

Life's too short to be sitting around miserable
People gonna talk whether you doing bad or good, yeah
Got a drink on my mind and my mind on my money, yeah
Looking so bomb, gonna find me a honey
Got my Ray-Bans on and I'm feeling hella cool tonight, yeah
Everybody's vibing so don't nobody start a fight, yeah-ah-ah-ah
(Yeah yeah yeah yeah yeah yeah)

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh let the Jameson sink in
I drink to that, yeah yeah

Don't let the bastards get you down
Turn it around with another round
There's a party at the bar everybody put your glasses up and
I drink to that, I drink to that
(Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah)

'Bout to hop on the bar, put it all on my card tonight, yeah
Might be mad in the morning but you know we goin' hard tonight
It's getting Coyote Ugly up in here, no Tyra
It's only up from here, no downward spiral
Got my Ray-Bans on and I'm feeling hella cool tonight, yeah
Everybody's vibing so don't nobody start a fight, yeah (yeah yeah)

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh let the Jameson sink in
I drink to that, yeah yeah

Don't let the bastards get you down
Turn it around with another round
There's a party at the bar everybody put your glasses up and
I drink to that, I drink to that
(Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah)

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh let the Jameson sink in
I drink to that, yeah yeah

Don't let the bastards get you down
Turn it around with another round
There's a party at the bar everybody put your glasses up and
I drink to that, I drink to that, I drink to that, I drink to that
(Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah)

And I drink to that",Cheers (Drink To That)+Rihanna,1
Sexy And I Know It,LMFAO,10/02/2011,10,10,4,"Yeah, yeah
When I walk on by, girls be looking like ""Damn, he fly!""
I pay to the beat, walking down the street in my new Le Freak, yeah
This is how I roll, animal print pants outta control
It's Redfoo with the big afro
And like Bruce Leroy I got the glow

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

When I walk in the spot, this is what I see
Everybody stops and they staring at me
I got a passion in my pants and I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it
I'm sexy and I know it, yo

When I'm at the mall, security just can't fight them off
And when I'm at the beach, I'm in a Speedo trying to tan my cheeks, (what?)
This is how I roll, come on ladies it's time to go
We headed to the bar, baby don't be nervous
No shoes, no shirt and I still get service (what?)

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

When I walk in the spot, this is what I see
Everybody stops and they staring at me
I got a passion in my pants and I ain't afraid to show it
Show it, show it, show it

I'm sexy and I know it, hey
I'm sexy and I know it
Check it out
Check it out

Wiggle, wiggle, wiggle, wiggle, wiggle, yeah 
Wiggle, wiggle, wiggle, wiggle, wiggle, yeah 
Wiggle, wiggle, wiggle, wiggle, wiggle, yeah 
Wiggle, wiggle, wiggle, wiggle, yeah yeah 

Do the wiggle, man
I do the wiggle, man, yeah
I'm sexy and I know it
Hey, yeah

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

Girl, look at that body
Girl, look at that body
Girl, look at that body
I work out

I'm sexy and I know it",Sexy And I Know It+LMFAO,1
Without You,David Guetta Featuring Usher,10/09/2011,8,8,5,"I can't win, I can't reign
I will never win this game without you, without you
I am lost, I am vain
I will never be the same without you, without you

I won't run, I won't fly
I will never make it by without you, without you
I can't rest, I can't fight
All I need is you and I, without you, without you

Oh, oh, oh
You, you, you
Without you, you, you
Without you

Can't erase so I'll take blame
But I can't accept that we're estranged without you, without you
I can't quit now, this can't be right
I can't take one more sleepless night without you, without you

I won't soar, I won't climb
If you're not here, I'm paralyzed without you, without you
I can't look, I'm so blind
Lost my heart, I lost my mind, without you, without you

Oh, oh, oh
You, you, you
Without you, you, you
Without you

I am lost, I am vain
I will never be the same without you, without you
Without you",Without You+David Guetta Featuring Usher,0
We Found Love,Rihanna Featuring Calvin Harris,10/09/2011,9,9,2,"Yellow diamonds in the light
Now we're standing side by side
As your shadow crosses mine
What it takes to come alive

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Shine a light through an open door
Love and life I will divide
Turn away 'cause I need you more
Feel the heartbeat in my mind

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Yellow diamonds in the light
Now we're standing side by side
As your shadow crosses mine

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place",We Found Love+Rihanna Featuring Calvin Harris,0
